,orig,pred
17160,33489.0,32851.73067203258
17161,32145.0,33402.325791961266
17162,36243.0,33527.960551685625
17163,35148.0,34097.656846187034
17164,32462.0,34729.385383945504
17165,35301.0,34623.76084821454
17166,41058.0,35180.85922554154
17167,35324.0,36367.870813255046
17168,39846.0,36172.60615737454
17169,37541.0,36975.554625487275
17170,37709.0,37976.03310843962
17171,38790.0,38864.94670974621
17172,35579.0,38418.628060773575
17173,36993.0,36970.10038550478
17174,37564.0,37683.343284906354
17175,43006.0,37235.21086543534
17176,33749.0,38634.62881216966
17177,32077.0,35461.60124037034
17178,32726.0,33912.69454271781
17179,31347.0,34216.7257664695
17180,35478.0,32424.61999379219
17181,32814.0,33607.441367574196
17182,39147.0,33793.10560727755
17183,40246.0,34903.202946569036
17184,61676.0,37063.6086862272
17185,43398.0,44675.501367948746
17186,40538.0,43743.177688969954
17187,39321.0,44138.223119033544
17188,41806.0,42278.70038735151
17189,38411.0,40900.433605555045
17190,38362.0,37993.11249121742
17191,39656.0,38076.56126986084
17192,39777.0,39544.41034888397
17193,41097.0,40302.813410500195
17194,39949.0,40383.572264772985
17195,38463.0,39927.723308276254
17196,37088.0,39079.978161784784
17197,38554.0,38460.88474954464
17198,40999.0,39398.92721874154
17199,37964.0,39265.328403197156
17200,38374.0,38640.533517211334
17201,34638.0,37947.837414969385
17202,37468.0,36730.96061967557
17203,37632.0,37327.93372297666
17204,36409.0,36191.02115934142
17205,37091.0,35914.2626117746
17206,36307.0,35650.77783097493
17207,33781.0,36523.45911329674
17208,32725.0,35399.081250453026
17209,36222.0,34367.10982437347
17210,34502.0,34180.21515965361
17211,36316.0,35676.18765945469
17212,35372.0,35524.88044670115
17213,39577.0,35393.881463051555
17214,36063.0,36083.696526368694
17215,35638.0,37413.03221644438
17216,39096.0,37985.63252827249
17217,42119.0,37356.42221035854
17218,40223.0,39579.28192526618
17219,39457.0,39355.811587781995
17220,41108.0,39826.22269289472
17221,41095.0,40452.86743659286
17222,39400.0,40321.565496485724
17223,40014.0,38641.5361085126
17224,41592.0,39701.15972648292
17225,41849.0,40818.580411006194
17226,43083.0,41183.48762975813
17227,42022.0,42321.53803759043
17228,40282.0,42214.54022948762
17229,41554.0,41736.20496663431
17230,42239.0,41655.40910037102
17231,44823.0,41531.36677577512
17232,41552.0,42221.864178874355
17233,46694.0,42895.305537393
17234,47581.0,43862.59772652189
17235,48410.0,44466.80680359102
17236,48954.0,45837.37614642191
17237,52284.0,47867.958585377775
17238,49924.0,48863.42994303704
17239,52467.0,49066.37504496951
17240,49245.0,49684.83036890494
17241,51013.0,49513.788699556775
17242,47450.0,49419.50957641104
17243,52352.0,48655.909460797426
17244,49870.0,49236.68877780019
17245,42253.0,49592.8919191322
17246,47859.0,43858.319995430495
17247,44030.0,47229.022328732215
17248,49112.0,43845.410840170036
17249,41976.0,46172.317442828156
17250,48339.0,43684.70411407879
17251,40097.0,45542.12679393649
17252,45598.0,41324.124544599275
17253,40933.0,42696.90094730313
17254,43475.0,42230.22264681249
17255,41076.0,43131.78026263097
17256,45133.0,41111.45218562785
17257,42333.0,42418.42378778516
17258,43764.0,43659.05414448862
17259,41804.0,44008.500605636626
17260,44883.0,42713.01963866953
17261,45997.0,44073.78507924331
17262,47209.0,45519.150030135286
17263,48153.0,46306.20386565892
17264,47207.0,46634.76988207096
