,orig,pred
17160,30528.0,29169.448579985266
17161,31023.0,29688.24427225499
17162,31717.0,31196.130972840518
17163,31474.0,31249.632975911773
17164,30391.0,31623.93924364947
17165,29254.0,30905.96407523805
17166,35584.0,30003.421181772075
17167,30602.0,33459.55742445843
17168,36088.0,31363.065870612492
17169,32806.0,33794.22094012574
17170,30956.0,33552.75018048555
17171,30708.0,31908.02330498215
17172,31301.0,31200.911554384948
17173,31570.0,31343.514298412963
17174,31649.0,31761.29686405267
17175,38676.0,31712.926301789223
17176,27219.0,36031.406684749134
17177,26720.0,30260.024216530725
17178,26785.0,30054.492735716623
17179,26589.0,27109.06896142429
17180,27551.0,27287.60703891282
17181,27605.0,27265.277288892623
17182,30651.0,27874.252898126084
17183,36837.0,29498.116826058693
17184,56590.0,33146.35732649439
17185,38025.0,45021.56028319148
17186,34419.0,33602.55396688646
17187,32233.0,33210.25055426647
17188,31144.0,32483.841662352213
17189,32349.0,31879.088203905198
17190,32997.0,31821.67206669437
17191,33734.0,32793.89656481912
17192,32605.0,33310.740184887814
17193,37383.0,32398.81852464635
17194,34081.0,35875.151623420745
17195,32353.0,33762.35528848386
17196,31036.0,33195.263389837055
17197,32163.0,31725.31826399597
17198,31697.0,31982.79752860649
17199,31902.0,31912.860042060907
17200,31181.0,31884.31367584837
17201,30569.0,31574.008984410986
17202,32112.0,30980.187493622496
17203,35983.0,31883.78767830508
17204,30261.0,34515.399042725854
17205,30987.0,31127.218341338496
17206,36367.0,31812.371203052364
17207,31260.0,34575.540293425714
17208,32470.0,32018.57466830273
17209,31593.0,32840.18203734027
17210,31811.0,32082.22017749643
17211,32169.0,31892.86779499209
17212,30526.0,32155.921960286185
17213,29914.0,31197.398748126092
17214,29279.0,30541.162260410903
17215,29220.0,29814.064093186564
17216,32690.0,29726.549574532008
17217,33329.0,31578.04628463838
17218,33663.0,32524.739722245475
17219,33434.0,33122.60992196169
17220,34882.0,33292.46890649872
17221,34310.0,34381.514578493494
17222,34819.0,34461.90249259252
17223,34366.0,34704.979218122775
17224,34344.0,34656.942666701674
17225,35476.0,34467.37012212684
17226,36308.0,35504.44713729529
17227,35816.0,35952.696106979965
17228,32365.0,36029.19623589426
17229,35066.0,33580.537956665255
17230,33979.0,34517.81880208845
17231,35763.0,34680.62593829518
17232,33446.0,35390.392959447425
17233,36334.0,34199.2388142097
17234,36131.0,35461.6247078161
17235,36776.0,36157.79212973237
17236,39455.0,36342.880184714035
17237,38890.0,38633.040226227895
17238,37771.0,38286.486532584975
17239,40622.0,38131.79575965472
17240,35533.0,39844.77939845574
17241,37971.0,37010.279260559415
17242,37150.0,37696.460937085474
17243,37493.0,37918.53629498087
17244,40125.0,37348.25629824009
17245,36217.0,39390.58062292158
17246,41059.0,37132.77593458748
17247,36651.0,39501.03145469749
17248,39233.0,38153.34666404375
17249,33449.0,38524.558475492515
17250,39414.0,36124.44874209682
17251,34690.0,37893.01628478507
17252,38328.0,37691.31888310271
17253,34880.0,37504.765970893626
17254,37708.0,36927.57941457702
17255,36993.0,37059.582895392195
17256,39516.0,37767.432187697465
17257,37350.0,38410.833856165
17258,37694.0,38137.10409639451
17259,37135.0,37612.69183539822
17260,40016.0,37876.63357495864
17261,37890.0,38799.7565483673
17262,39593.0,38730.269716265146
17263,39859.0,38878.4235852326
17264,39300.0,40133.412504758875
17265,37698.0,39350.646603272224
17266,38641.0,38761.603966046445
17267,38585.0,38599.03210127585
17268,39560.0,39185.09803010693
17269,37276.0,39270.85289190362
17270,39532.0,38288.526886186664
17271,39429.0,38912.337554959435
17272,42173.0,40101.820363041414
17273,39890.0,40900.88236587178
17274,40396.0,40604.084242123536
17275,40455.0,40384.78820412603
17276,39253.0,40954.967463580004
17277,39668.0,39815.02462293541
17278,39455.0,40075.39346626953
17279,39745.0,39835.078391651245
17280,38324.0,40113.42662893086
17281,39797.0,39122.76254988309
17282,38479.0,39730.73685241047
17283,38555.0,39233.84849717647
17284,38499.0,38968.63021214915
17285,38759.0,38943.751715400496
17286,57223.0,39055.52370286161
17287,39199.0,49930.30747226586
17288,40486.0,40703.96392583151
17289,47068.0,41351.67010434595
17290,55655.0,44617.036683036684
17291,54088.0,50198.70473298963
17292,54528.0,49785.1852501085
17293,39152.0,51247.323681301124
17294,40179.0,42475.458760548645
17295,39615.0,43380.53206435628
17296,38788.0,40066.41093808921
17297,38537.0,39656.03177114548
17298,40866.0,38852.79492498665
17299,44851.0,40357.41826139539
17300,37894.0,43056.88033451954
17301,45280.0,39151.94043471586
17302,37333.0,43150.82229828349
17303,37247.0,40965.62832737444
17304,35859.0,39622.3858914054
17305,33000.0,37044.59340696276
17306,34062.0,35124.84264596343
17307,38306.0,34057.17213092358
17308,37393.0,37153.459574796354
17309,37771.0,37147.66503165608
17310,38968.0,38107.073010546796
17311,38703.0,38363.18251149093
17312,34684.0,38797.00289410388
17313,33175.0,36288.351605583994
17314,37647.0,34803.401736214495
17315,40288.0,36227.11156373842
17316,41951.0,39323.83063493514
17317,40511.0,40306.54071020693
17318,41655.0,39688.78096584442
17319,46430.0,41254.92252397581
17320,40716.0,43947.42181737779
17321,36104.0,41315.54646419755
17322,37375.0,39233.79281405684
17323,36558.0,37402.28191714865
17324,37349.0,37436.56843884453
17325,34456.0,37214.65275354334
17326,37119.0,35940.99359991189
17327,35028.0,36311.509659969866
17328,35288.0,36119.10371706831
17329,36627.0,34890.60234335969
17330,36716.0,36440.11367656863
17331,36479.0,36719.97809460168
17332,37460.0,36771.50764005347
17333,38221.0,37357.27275183481
17334,40346.0,38276.079604708146
17335,37199.0,39554.621426773774
17336,39931.0,37956.68746145327
17337,39521.0,39283.54176145068
17338,41739.0,39807.79029313355
17339,40127.0,40528.955543742566
17340,40031.0,40526.10399603479
17341,40731.0,40145.234783882006
17342,40454.0,40879.59388152222
17343,39358.0,40606.12735821317
17344,38897.0,40072.11460397061
17345,49236.0,39368.82541258718
17346,39398.0,45909.148590515346
17347,38028.0,40699.64301216478
17348,41391.0,40613.399757995656
17349,38433.0,40486.586346972224
17350,43124.0,39904.59758377114
17351,38590.0,41118.54465205202
17352,43254.0,40134.89532935089
17353,39053.0,41612.18849140418
17354,41701.0,40761.89199020219
17355,39428.0,41024.50824312201
17356,42011.0,40587.88503082471
17357,38969.0,41088.34659610623
17358,41127.0,40356.463649864694
17359,38590.0,40633.53330698873
17360,40672.0,40131.316330365305
17361,37502.0,40084.512176682634
17362,39123.0,39125.4750036734
17363,36701.0,38949.096194398844
17364,39076.0,38192.06670544636
17365,37228.0,38366.17719261696
17366,38486.0,38364.04168540358
17367,35586.0,38191.91226115767
17368,38048.0,37075.929042705015
17369,45282.0,37424.190511076915
17370,47263.0,42883.92206692365
17371,43313.0,43724.95785150012
17372,38328.0,41919.01245231162
17373,36610.0,40031.34171865262
17374,36899.0,38126.58987194997
17375,38858.0,36975.073471498064
17376,38638.0,38339.437595776784
17377,38655.0,38965.35123364021
17378,39730.0,38790.691702597134
17379,37874.0,39570.07785648655
17380,39388.0,38651.555573691614
17381,35290.0,39130.38759318597
17382,36820.0,36824.64818416065
17383,34830.0,36950.56046076717
17384,38162.0,36118.196130401906
17385,37734.0,37210.117568890084
17386,40046.0,37862.22403085784
17387,36354.0,38968.72128100554
17388,36902.0,37476.00721861834
17389,38619.0,37118.102138896924
17390,36213.0,38683.02743011875
17391,38887.0,36969.62225832267
17392,36543.0,38311.68369551531
17393,39126.0,37266.64842925185
17394,37548.0,38761.44464238863
17395,37611.0,38051.77293888889
17396,37096.0,37926.26880004426
17397,35674.0,37668.73805366723
17398,36822.0,36540.02633951182
17399,37875.0,36816.94059739698
17400,37109.0,37892.2403057991
17401,36736.0,37474.389846189726
17402,36679.0,37120.278492703816
17403,34620.0,37109.10824861135
17404,34901.0,35629.53362566869
17405,33249.0,35267.31300203716
17406,34530.0,34182.05855154568
17407,35230.0,34369.60895659551
17408,49683.0,35306.70948709588
17409,51527.0,43216.26717020503
17410,42841.0,44251.134605043524
17411,38295.0,40200.53623084361
17412,40523.0,39013.48855721158
17413,38653.0,39977.70960930737
17414,38632.0,39334.09344270585
17415,37777.0,38565.2023365279
17416,38823.0,38368.15952855132
17417,37701.0,38444.4564491924
17418,37924.0,38223.47766185772
17419,37265.0,37981.517647383014
17420,37975.0,37759.87786031391
17421,36955.0,37905.79607831338
17422,37089.0,37549.41103547848
17423,37182.0,37252.70988149396
17424,38253.0,37530.328312308935
17425,37585.0,38058.281701575295
17426,38029.0,37943.96920068607
17427,38656.0,38062.215231579736
17428,38479.0,38832.61917377013
17429,37004.0,38749.91628896637
17430,38699.0,37774.15341440706
17431,36262.0,38328.07093660962
17432,38363.0,37393.54506434219
17433,36667.0,38171.01119897012
17434,39918.0,37726.71381181627
17435,37824.0,38452.14846138031
17436,38916.0,38455.476399692794
17437,37495.0,38272.465746428075
17438,75421.0,38293.51685264721
17439,144924.0,53708.30073869974
17440,40792.0,58463.30215692882
