,orig,pred
17160,28295.0,29894.753736331942
17161,28779.0,28407.340945876687
17162,29437.0,29389.330002014874
17163,29383.0,29621.46207017224
17164,28405.0,29271.74954306261
17165,30578.0,29262.573846429223
17166,30682.0,30584.849375980164
17167,29663.0,30045.1511117171
17168,32523.0,29984.700456219354
17169,31202.0,31628.432146033098
17170,31987.0,31167.31182183153
17171,31727.0,31088.048384329886
17172,31463.0,31363.479574376797
17173,31645.0,32179.973347170322
17174,32864.0,30840.043153592873
17175,30112.0,31662.66948759902
17176,28478.0,30868.236398176738
17177,27182.0,29683.40769752558
17178,28518.0,27839.43725244572
17179,27689.0,29188.904761265494
17180,29154.0,28701.503533818992
17181,29041.0,28115.67773803992
17182,32993.0,29328.783543438083
17183,36924.0,30486.161897433416
17184,37261.0,33745.41307111875
17185,32494.0,35162.64816046234
17186,36053.0,33833.78523851205
17187,34608.0,35036.57939178334
17188,33168.0,34672.25246074693
17189,34205.0,34097.37494350011
17190,34295.0,34469.66416307841
17191,34718.0,34902.90937231064
17192,34411.0,35358.703411579605
17193,36051.0,33971.195754619774
17194,35654.0,35582.47395614505
17195,33182.0,34534.21579678339
17196,32878.0,33206.4089161572
17197,33997.0,32936.652860827795
17198,34227.0,33388.6571498961
17199,32982.0,32096.160417943975
17200,32778.0,32419.979499080015
17201,31419.0,32368.11624744249
17202,32576.0,31344.869514661164
17203,31701.0,31828.73694315315
17204,31849.0,31807.03155679143
17205,31681.0,31354.892042190568
17206,31549.0,31381.17453632904
17207,29194.0,31439.42643943441
17208,29227.0,30146.84112278566
17209,30062.0,29369.001045898854
17210,29502.0,29868.14718380402
17211,31922.0,30521.440282955475
17212,30060.0,31579.29682974738
17213,32510.0,30045.99191850288
17214,31099.0,30865.423994791046
17215,30349.0,31427.69443448037
17216,34081.0,31189.642209802252
17217,34411.0,33315.79752075374
17218,36153.0,33817.301673899994
17219,34772.0,37611.51339188422
17220,36835.0,34982.028619689925
17221,36797.0,34990.66059299372
17222,35750.0,36132.29265004245
17223,35741.0,34691.66649515194
17224,35947.0,34926.96954389861
17225,36068.0,36609.996547257484
17226,37144.0,37323.891964715025
17227,37228.0,36068.502285971255
17228,33789.0,37492.72080414748
17229,37510.0,35921.42985028104
17230,35998.0,36081.99136069938
17231,39954.0,34762.76150556776
17232,36739.0,38114.77502816099
17233,41712.0,38546.91562879536
17234,41660.0,38521.25399294685
17235,42137.0,40878.40135893474
17236,44659.0,43050.47925746902
17237,46433.0,43426.93637592713
17238,43436.0,44052.59333061609
17239,47547.0,43506.40415176412
17240,43941.0,46318.47071477262
17241,44144.0,44074.77736279046
17242,42184.0,44235.80316391617
17243,45412.0,42503.77523050522
17244,45261.0,44949.382416189925
17245,38521.0,44559.20801180578
17246,44066.0,40770.06978328398
17247,40219.0,40866.836088701224
17248,42038.0,39504.21881879469
17249,36990.0,39846.63253494294
17250,43640.0,37633.91433982653
17251,36631.0,41316.44338343258
17252,40553.0,38592.115715559885
17253,35387.0,38464.943638079065
17254,39319.0,37763.5570619928
17255,37255.0,37277.41491950751
17256,39560.0,38096.82367288249
17257,36852.0,39426.62357428734
17258,39665.0,39030.20390895068
17259,37163.0,38554.170867836285
17260,40196.0,38191.00673166829
17261,39624.0,38598.677381940426
17262,42035.0,41435.636512262645
17263,42695.0,39188.46990884779
17264,41448.0,42613.90808165892
17265,38733.0,40882.46889766013
17266,39670.0,39379.1964992038
17267,40031.0,40204.94523786405
17268,41240.0,38758.973589461304
17269,39615.0,40559.516366533644
17270,40514.0,38952.919135748874
17271,41720.0,37825.19902261997
17272,43006.0,39983.32176499308
17273,41343.0,40122.22906280248
17274,42167.0,39505.74896177512
17275,41269.0,40700.188163101244
17276,40117.0,40108.542903029054
17277,40833.0,39802.14089994627
17278,41834.0,42335.99000156289
17279,42363.0,42485.30448654939
17280,40191.0,42686.281797134674
17281,44363.0,44377.32946823106
17282,43795.0,42621.281177324614
17283,42872.0,43978.66141207097
17284,43605.0,44711.279635106184
17285,44704.0,43565.15169526586
17286,44152.0,44231.59020923115
17287,45165.0,44184.90024699629
17288,47345.0,44767.203017270374
17289,44751.0,47689.29044562415
17290,49046.0,45243.47833820333
17291,46490.0,45633.65815402636
17292,46712.0,46690.913647121
17293,43438.0,44954.588955500396
17294,43434.0,40032.531749178306
17295,41716.0,43869.09529456576
17296,42177.0,41920.52368768705
17297,42434.0,39074.93921175438
17298,38386.0,39672.76355013976
17299,37229.0,39661.92224158548
17300,39736.0,41205.6959461049
17301,38387.0,39179.90899599771
17302,39473.0,38950.784807046475
17303,38946.0,39164.536995118484
17304,37445.0,40611.95910519217
17305,34436.0,37705.47076018289
17306,31641.0,36520.998260641456
17307,33566.0,33809.542460052886
17308,33629.0,34902.54145860662
17309,32007.0,35207.59427058283
17310,32695.0,33317.52533649775
17311,32692.0,33465.775933140605
17312,33668.0,33277.91811630753
17313,32066.0,33609.36179022577
17314,32314.0,33283.52228751514
17315,36523.0,33350.53571261161
17316,37347.0,33604.05988462984
17317,38134.0,35519.93352068777
17318,39473.0,36162.46446708889
17319,38390.0,37649.523063874345
17320,40894.0,39151.501982140224
17321,37757.0,38461.88149500729
17322,39192.0,38337.57804822745
17323,37842.0,38928.01214700517
17324,40575.0,39480.874019954026
17325,38330.0,40399.831065095794
17326,38356.0,38374.295172786864
17327,38315.0,38518.28825318292
17328,38370.0,38321.199765292455
17329,40438.0,38560.11024619871
17330,41360.0,38764.97085151695
17331,42567.0,40588.78865086125
17332,41779.0,42221.88163502359
17333,43185.0,41329.701061490094
17334,44765.0,42603.44997504464
17335,43393.0,43338.01454657404
17336,46372.0,43583.467586477454
17337,46123.0,45993.62385580787
17338,47818.0,45142.75142596402
17339,46350.0,47104.33402718097
17340,46774.0,46292.6305639966
17341,43485.0,46000.82006054452
17342,43028.0,43927.604376847936
17343,40923.0,43231.79028384039
17344,41225.0,42732.16536551482
17345,39723.0,41336.91408343771
17346,40246.0,39937.59757428069
17347,38428.0,38711.27840556325
17348,41979.0,39219.426701680415
17349,37927.0,40762.597457072916
17350,42083.0,38150.027570050705
17351,37663.0,39473.386121080184
17352,41007.0,37624.32318916343
17353,38430.0,39562.64007761225
17354,41145.0,39388.245811648034
17355,38097.0,40587.87557231269
17356,41740.0,38651.95783889104
17357,38112.0,40697.81287803587
17358,43035.0,39323.94056754171
17359,39304.0,41389.446081594004
17360,41165.0,39770.09448784849
17361,41797.0,39553.49132677937
17362,41329.0,41436.997438710576
17363,41248.0,40431.02282918741
17364,44683.0,41358.22426395991
17365,38640.0,42933.113684484895
17366,40783.0,41970.36385173326
17367,39050.0,41729.064516213824
17368,40034.0,39978.1832555723
17369,38157.0,39686.00445414618
17370,39263.0,39830.23548101704
17371,37648.0,38556.4672966311
17372,38973.0,37384.012546854625
17373,37927.0,38421.490180253095
17374,38726.0,36951.09577300986
17375,41036.0,38286.59583799307
17376,41591.0,40541.896456465605
17377,43211.0,41316.86796340053
17378,43102.0,42928.70389324314
17379,41985.0,41762.1704066125
17380,43944.0,42213.989760245044
17381,39061.0,43383.665464737715
17382,42082.0,41860.68682585483
17383,39790.0,42155.07109701423
17384,42365.0,41056.56001173066
17385,40313.0,42459.1182088078
17386,44412.0,40903.63186079125
17387,41562.0,42352.348382138065
17388,40542.0,41229.99214311876
17389,41732.0,40084.674230209435
17390,39049.0,40174.56536894436
17391,45020.0,38912.90284442688
17392,40915.0,40767.157412595014
17393,41854.0,39387.512823136574
17394,40524.0,41552.923136628066
17395,41618.0,40005.33075232773
17396,41518.0,41559.71945808388
17397,40740.0,40563.554344028686
17398,40045.0,41398.93143965117
17399,39989.0,39844.18226039024
17400,40454.0,39724.15828999577
17401,40586.0,39115.75313155051
17402,40053.0,40163.45338329672
17403,38336.0,40281.100133126674
17404,38463.0,39172.36353374651
17405,37567.0,38363.37205657742
17406,37680.0,38919.872622344286
17407,37697.0,38148.170795546
17408,41618.0,37493.1443778893
17409,40275.0,39751.85067603793
17410,42450.0,40590.82590386756
17411,40836.0,41327.50717242498
17412,42838.0,41013.44341559622
17413,41974.0,41608.120046543685
17414,41883.0,42019.17460682968
17415,40032.0,42090.67019440847
17416,41973.0,39992.01307574274
17417,40117.0,41165.935398831105
17418,41115.0,40504.188073743695
17419,40333.0,41300.303443276185
17420,40679.0,40170.40094075301
17421,40912.0,40872.450680176684
17422,40810.0,41008.13053820839
17423,40230.0,40750.79905820767
17424,40830.0,40350.606216487446
17425,39461.0,40564.771056151
17426,39900.0,40884.42582225834
17427,40431.0,40157.84155523604
17428,40515.0,40807.62687354039
17429,39109.0,40801.553719983516
17430,41273.0,40219.02297340504
17431,39491.0,40308.04655887268
17432,41122.0,40731.95703548287
17433,38944.0,40657.81358870196
17434,42391.0,40578.820705719845
17435,39910.0,41321.254190810585
17436,40280.0,40652.63198656983
17437,40323.0,40007.98778193574
17438,42940.0,40348.231246818206
17439,40316.0,41763.6795567846
17440,41996.0,40503.05114826825
17441,38609.0,41029.457209251595
17442,42114.0,39679.08926139803
17443,40724.0,40501.145725796334
17444,43697.0,42521.72642679793
17445,41541.0,42569.660185269415
17446,43014.0,40891.21348138228
17447,39507.0,41915.45584100603
17448,43726.0,40764.76570548485
17449,44481.0,40869.196030740284
17450,43901.0,42344.35473256534
17451,41963.0,41984.597438710494
17452,44352.0,42607.98827176841
17453,42227.0,42079.19044710437
17454,44833.0,43134.153521843175
17455,41851.0,43455.39376103441
17456,44086.0,42753.637790214445
17457,41641.0,43717.66955727477
17458,43356.0,42974.32380950116
17459,16280.0,43904.65592944283
