,orig,pred
17160,434.0,410.9548753051278
17161,362.0,459.10547367246204
17162,378.0,448.2805433853602
17163,371.0,436.36256993824077
17164,421.0,408.8711046014733
17165,427.0,394.1508908228003
17166,549.0,417.30822242860404
17167,418.0,398.69733567672233
17168,399.0,458.6782290061604
17169,407.0,393.796955930891
17170,508.0,413.4519367477232
17171,379.0,377.5289529298912
17172,407.0,447.5576623106692
17173,480.0,435.47989493223866
17174,455.0,405.5628305060582
17175,357.0,424.74315664007287
17176,520.0,436.03871775167437
17177,420.0,393.8185487525938
17178,421.0,434.1965024992641
17179,402.0,416.47223977501585
17180,478.0,411.9454825103316
17181,455.0,379.3013460364902
17182,438.0,463.8900325820174
17183,455.0,430.0355304540472
17184,414.0,450.2713684305799
17185,478.0,435.42385205122173
17186,478.0,442.8185934885762
17187,438.0,428.72354857323916
17188,428.0,459.5280693361895
17189,456.0,459.11284206332766
17190,284.0,427.35629304650615
17191,413.0,411.7319268675712
17192,418.0,367.19235953939864
17193,417.0,409.1477845014864
17194,412.0,401.8171180844447
17195,528.0,410.55534034065187
17196,561.0,417.0587168912399
17197,483.0,489.5957508447639
17198,465.0,466.4811262120628
17199,513.0,476.26465939283844
17200,365.0,410.96537031846805
17201,315.0,473.6814575056475
17202,382.0,375.5414163142456
17203,519.0,391.6502773022222
17204,442.0,418.0010725289791
17205,502.0,428.16581261510106
17206,513.0,477.49860267700427
17207,408.0,434.54630017159843
17208,465.0,434.6903491617199
17209,479.0,433.77492238319087
17210,429.0,433.38287458267706
17211,470.0,475.12788617783605
17212,435.0,472.63103257286633
17213,361.0,476.12171154244976
17214,296.0,416.2750468224529
17215,459.0,401.20296586365595
17216,414.0,422.91707652972156
17217,366.0,376.72758516659195
17218,429.0,387.07039937946365
17219,428.0,413.70285958884597
17220,398.0,394.0583774015802
17221,348.0,405.3272583765518
17222,413.0,405.529006389733
17223,367.0,446.4897606568413
17224,462.0,381.1171108279007
17225,467.0,380.99270885211905
17226,456.0,427.7149699245119
17227,343.0,422.2926802253925
17228,472.0,416.47563734309574
17229,412.0,431.87634326404816
17230,486.0,438.11347206102784
17231,450.0,437.79877919188533
17232,413.0,435.40779042102747
17233,351.0,451.679007094477
17234,458.0,419.78529202504217
17235,482.0,450.06485990397044
17236,396.0,415.59835663008926
17237,449.0,429.4749113533147
17238,430.0,431.85767719324247
17239,529.0,445.9489830366405
17240,429.0,393.61443582766856
17241,415.0,469.419652409268
17242,429.0,463.9735527673974
17243,431.0,425.76006769995536
17244,417.0,433.65829402330684
17245,407.0,433.16782581748686
17246,432.0,425.6862062114059
17247,491.0,456.78356039801196
17248,415.0,421.21003518997827
17249,482.0,461.46304599876146
17250,414.0,459.38511341428153
17251,412.0,448.0713340452282
17252,442.0,446.0703141329156
17253,417.0,431.5924072850943
17254,428.0,427.4259287326024
17255,415.0,420.2855578047318
17256,417.0,465.5926450379669
17257,475.0,402.7700297704224
17258,480.0,401.50706965694843
17259,468.0,425.9239592112561
17260,399.0,465.9453289931573
17261,417.0,463.27000693429864
17262,395.0,455.6251154102763
17263,454.0,443.47639939023713
17264,315.0,409.2999229912727
17265,391.0,375.0556516651666
17266,423.0,417.854164591386
17267,346.0,380.53082988497636
17268,387.0,417.9469312188409
17269,428.0,390.9698744468797
17270,452.0,328.9172692166975
17271,483.0,415.6749540084725
17272,441.0,424.72737889815716
17273,384.0,442.72763312668326
17274,423.0,421.2255066261414
17275,422.0,430.18864215973053
17276,292.0,464.87797628125276
17277,456.0,437.51719067135053
17278,370.0,423.8848296611918
17279,279.0,469.5163605709868
17280,399.0,397.5614818879933
17281,387.0,409.530979449567
17282,358.0,368.4794434805523
17283,438.0,384.1841814406201
17284,422.0,431.39678023197206
17285,388.0,394.4841838366548
17286,443.0,405.4527254420073
17287,518.0,396.70805797168356
17288,434.0,420.86353434198986
17289,505.0,427.19053024900694
17290,366.0,458.5088464086077
17291,384.0,475.47910640204617
17292,360.0,416.0228084470711
17293,304.0,405.4217115604052
17294,485.0,344.93463274486726
17295,351.0,400.83754995613987
17296,518.0,396.357751478642
17297,356.0,401.16282289125206
17298,498.0,410.31309756233026
17299,427.0,354.41242638110884
17300,418.0,433.07833363510815
17301,389.0,472.07506716943084
17302,500.0,439.6084237096898
17303,409.0,417.0052866266916
17304,425.0,413.4070107952982
17305,413.0,405.89569971301984
17306,373.0,437.74309950290365
17307,317.0,416.1352329415708
17308,346.0,388.6333796068119
17309,369.0,367.79200137989005
17310,481.0,351.27961301023964
17311,379.0,328.3622771108896
17312,497.0,389.4102157130009
17313,424.0,416.4815862187169
17314,357.0,399.69860209194593
17315,420.0,378.9602854087478
17316,375.0,403.7391719203888
17317,418.0,391.5251528032381
17318,439.0,403.9269020259739
17319,445.0,388.3957533593298
17320,336.0,395.61358646627906
17321,431.0,397.59939069498574
17322,450.0,418.79389788535786
17323,380.0,422.4039209870615
17324,487.0,442.0454059560793
17325,406.0,431.62393623293804
17326,394.0,426.351096943662
17327,360.0,421.1239803349229
17328,504.0,415.2450461799738
17329,426.0,400.07484750641197
17330,439.0,417.2463812212089
17331,400.0,408.68928423518906
17332,409.0,426.0620902909652
17333,506.0,405.9508844890193
17334,484.0,413.4933559193037
17335,484.0,428.89432758174627
17336,410.0,462.8963460754857
17337,365.0,457.28539461549946
17338,392.0,416.43671488736305
17339,374.0,412.0427290030755
17340,385.0,403.0049771964751
17341,440.0,373.19938481355297
17342,415.0,399.54999806808667
17343,486.0,385.1503706541751
17344,438.0,417.3753146529923
17345,396.0,450.35198400967175
17346,346.0,419.11039451972607
17347,516.0,423.8705239168457
17348,481.0,442.7494588955165
17349,478.0,461.65794118590816
17350,367.0,437.8505916459411
17351,466.0,446.3188179840037
17352,409.0,445.71417725528045
17353,545.0,425.4104474226051
17354,366.0,431.80407235249874
17355,338.0,463.16386456902507
17356,485.0,363.80666351186545
17357,463.0,411.62735964531225
17358,439.0,473.6305008133965
17359,398.0,416.53545182348483
17360,375.0,436.04408916956345
17361,439.0,417.2357834104237
17362,417.0,385.3220555215449
17363,330.0,405.1268466309355
17364,460.0,397.5631556130752
17365,449.0,438.52016150566186
17366,359.0,439.52414488871665
17367,446.0,400.8362070011149
17368,524.0,413.77647470266237
17369,421.0,360.9172838733296
17370,480.0,434.0510695021072
17371,308.0,434.8033048186801
17372,463.0,506.69182061253315
17373,364.0,457.9672693847242
17374,397.0,424.92203867710896
17375,342.0,396.2974089185715
17376,357.0,424.2583106747455
17377,461.0,429.66148370935116
17378,414.0,437.4246304746643
17379,410.0,398.5532188341394
17380,489.0,385.38506950095996
17381,473.0,405.3309274202383
17382,414.0,436.1683451144277
17383,396.0,420.55513765269006
17384,554.0,439.58571347389585
17385,387.0,445.23624423307945
