,orig,pred
17160,27331.0,28337.187587405348
17161,26412.0,27840.70028706946
17162,27327.0,27091.68994765053
17163,26712.0,27082.35533586664
17164,25857.0,26868.230112144884
17165,28034.0,26340.90449755074
17166,33676.0,26958.53167648811
17167,26848.0,29768.688460613084
17168,30907.0,28303.283913448533
17169,28413.0,29456.282256573035
17170,28449.0,29016.954309802855
17171,27387.0,28713.20122315286
17172,26688.0,28160.781236174204
17173,26966.0,27290.02437621787
17174,28520.0,27125.06366712644
17175,35863.0,27581.59645243391
17176,28235.0,30953.434127113724
17177,26873.0,29622.44305085612
17178,28171.0,28592.88993519746
17179,26869.0,28218.894258123433
17180,28517.0,27439.476080018838
17181,28094.0,27973.080921385965
17182,32297.0,27911.694172043055
17183,36286.0,29672.373661545957
17184,56664.0,32852.30910248522
17185,38024.0,41825.1335021065
17186,36132.0,40060.907246755065
17187,34723.0,39572.40592142699
17188,33028.0,37008.910056555105
17189,34015.0,35015.25338564168
17190,34310.0,34822.07761735655
17191,34644.0,34165.21420781492
17192,34228.0,34319.04140835208
17193,35841.0,34092.91937499333
17194,35677.0,34764.662798152174
17195,33278.0,35172.74939210972
17196,33057.0,34219.637912589526
17197,34599.0,33608.82448117566
17198,35236.0,33909.08688042181
17199,33538.0,34511.573948492165
17200,33533.0,34043.028490950455
17201,32238.0,33708.72198181341
17202,33722.0,32913.88723535676
17203,33541.0,33152.40291765521
17204,33297.0,33327.64627064502
17205,32857.0,33238.702071474094
17206,32793.0,33013.28836857309
17207,30281.0,32799.47580473224
17208,30124.0,31522.872377999927
17209,31047.0,30775.01057229293
17210,30635.0,30763.92821665006
17211,33205.0,30621.36331404626
17212,30966.0,31678.56053047415
17213,33717.0,31333.888376602954
17214,32604.0,32272.560703360126
17215,31649.0,32508.14228627061
17216,33339.0,32051.158538088242
17217,32550.0,32605.458012340256
17218,33798.0,32520.24153491925
17219,32771.0,33095.263131026375
17220,33679.0,32927.47961319308
17221,33506.0,33191.09375314321
17222,32465.0,33344.34764825781
17223,32069.0,32869.71845710737
17224,32095.0,32457.801366197786
17225,32175.0,32179.015884488163
17226,33108.0,32119.39032357644
17227,32990.0,32499.417421035563
17228,29615.0,32699.44819640866
17229,33224.0,31109.45667882045
17230,31228.0,31852.524149868583
17231,35349.0,31592.356773771025
17232,32025.0,33084.02666423835
17233,37422.0,32696.44613520822
17234,37196.0,34494.54570828038
17235,37926.0,36118.50534276216
17236,41126.0,36946.37345336868
17237,43401.0,38971.07581434686
17238,41237.0,41065.13586670564
17239,44194.0,41382.704401452356
17240,41097.0,42625.8917187261
17241,41458.0,41980.735660145045
17242,38338.0,41749.99695457266
17243,41758.0,40095.946428361356
17244,41745.0,40617.81712656874
17245,34712.0,41264.59868208254
17246,41408.0,37717.93883002027
17247,37567.0,39092.52222456384
17248,39380.0,38381.08373792757
17249,35819.0,38766.27459108344
17250,42265.0,37303.500480498435
17251,34398.0,38996.977597231475
17252,38403.0,36711.19162819195
17253,33381.0,37425.563645557646
17254,37221.0,35387.17068663791
17255,34347.0,35956.03953524584
17256,37078.0,35341.884368783096
17257,34962.0,35829.07119746474
17258,38024.0,35530.39632083843
17259,35013.0,36368.371719433664
17260,37003.0,35829.40754979546
17261,35618.0,36181.131911595636
17262,38261.0,35981.704860583035
17263,38766.0,36806.49194474252
17264,37466.0,37865.950285187406
17265,34945.0,37617.16299131971
17266,35351.0,36320.038583719615
17267,35111.0,35717.05118542338
17268,36106.0,35368.01201887836
17269,34503.0,35596.69526837767
17270,35047.0,35044.43425102135
17271,35936.0,34901.698846443905
17272,36774.0,35301.22873992538
17273,34631.0,35913.41876340743
17274,34873.0,35307.60663598115
17275,33923.0,35003.96495754982
17276,32791.0,34422.004576762585
17277,33896.0,33558.34072125177
17278,35422.0,33613.52743137503
17279,35999.0,34319.9132272884
17280,33754.0,35111.36307136083
17281,37983.0,34433.19471807571
17282,36930.0,35797.2430818166
17283,36015.0,36477.5064975045
17284,37619.0,36268.118418521364
17285,38437.0,36853.36426829536
17286,38274.0,37517.39720656155
17287,39231.0,37951.116881529015
17288,41672.0,38508.154793620444
17289,38938.0,39917.689007492605
17290,44020.0,39518.84850545455
17291,41075.0,41362.10949900583
17292,41614.0,41400.14254763108
17293,38948.0,41489.43626657253
17294,39060.0,40285.25295121657
17295,37599.0,39571.9786724204
17296,38384.0,38641.22107205637
17297,39295.0,38328.76320901972
17298,39684.0,38728.16386766871
17299,42973.0,39059.78551152597
17300,36657.0,40761.96570261004
17301,43708.0,38612.10941326279
17302,35882.0,40556.16273588574
17303,35706.0,38174.60963518907
17304,34400.0,37231.480782500934
17305,33427.0,35799.089107527245
17306,32059.0,34408.56742403882
17307,33219.0,33294.647078039765
17308,33161.0,32928.28453377604
17309,31996.0,32964.089085381594
17310,32628.0,32364.29322333792
17311,32908.0,32368.977791306545
17312,34222.0,32497.204823457538
17313,32608.0,33225.93485758073
17314,32731.0,32928.71654410097
17315,33934.0,32753.607154345715
17316,33424.0,33217.97543295015
17317,33823.0,33283.32543188216
17318,35443.0,33514.85095325578
17319,39371.0,34317.114692906296
17320,38972.0,36547.66141333313
17321,32841.0,37914.37585803869
17322,35004.0,35248.01931311803
17323,33979.0,35142.94275577521
17324,36029.0,34504.6969031386
17325,34089.0,35096.73442018773
17326,35420.0,34664.81005799804
17327,34292.0,34818.822257192
17328,34453.0,34572.54689424474
17329,36605.0,34383.84855733659
17330,37750.0,35353.93124367909
17331,39685.0,36435.204432416904
17332,38493.0,37989.222811814616
17333,39983.0,38290.28135092352
17334,41177.0,39035.3222364521
17335,40141.0,40075.04762508722
17336,43678.0,40150.99594011327
17337,43306.0,41704.83285082319
17338,45264.0,42571.94728950089
17339,43651.0,43829.069763195796
17340,44033.0,43850.45334624689
17341,40364.0,43883.54280536016
17342,40620.0,42173.08215233886
17343,38462.0,41371.33010396828
17344,39347.0,39918.37582917092
17345,49608.0,39468.36294115616
17346,39434.0,43354.545905102554
17347,37267.0,41430.29200749542
17348,40957.0,39790.8970883853
17349,36976.0,39949.61358592787
17350,41962.0,38347.820625253284
17351,36452.0,39883.96260888515
17352,40046.0,38053.98186310449
17353,37446.0,38768.53338295057
17354,40004.0,38192.964726889215
17355,36625.0,38775.44737145904
17356,40586.0,37824.1049632771
17357,36590.0,38753.25838742726
17358,40937.0,37808.70232542466
17359,36344.0,38934.66774604634
17360,37751.0,37764.426923181025
17361,39004.0,37627.053509775185
17362,38580.0,38291.48313703058
17363,38837.0,38283.002154353875
17364,42402.0,38596.50233703467
17365,35974.0,40099.61190467003
17366,38453.0,37993.29106519587
17367,37345.0,38182.624165770234
17368,37952.0,37749.49040663596
17369,36146.0,37698.26488100246
17370,37506.0,36999.871958408905
17371,36375.0,36991.66371153076
17372,37194.0,36701.978970077886
17373,36507.0,36775.24207497674
17374,37018.0,36636.24766777554
17375,39528.0,36676.988514241224
17376,40409.0,37916.92625913976
17377,41897.0,39098.15169397971
17378,41831.0,40441.796264910074
17379,40866.0,41144.134203780595
17380,42462.0,41018.82009551339
17381,37828.0,41649.2791176615
17382,41217.0,39717.16185948916
17383,39137.0,40284.82479692406
17384,41499.0,39757.86316181517
17385,39529.0,40385.53754058747
17386,43685.0,40048.69981218246
17387,40741.0,41394.54088762434
17388,39878.0,41252.500579639454
17389,40718.0,40526.99432067554
17390,38044.0,40574.86528023772
17391,44742.0,39211.72243450195
17392,40668.0,41368.339154307374
17393,41487.0,41189.949892900906
17394,39997.0,41297.76903616517
17395,41750.0,40654.4216293381
17396,40749.0,40932.76326599849
17397,39766.0,40961.86354840233
17398,38969.0,40271.967109487014
17399,38968.0,39611.40435256953
17400,40141.0,39138.3211769231
17401,40186.0,39520.74356646404
17402,39502.0,39768.189969688814
17403,40214.0,39594.85314138335
17404,41181.0,39779.66536177374
17405,40388.0,40358.97361988153
17406,40856.0,40369.97562793445
17407,38389.0,40544.09641495112
17408,39847.0,39447.90385121246
17409,37018.0,39505.8161421909
17410,38504.0,38256.41003246008
17411,35776.0,38219.15584643129
17412,38402.0,36990.06600036345
17413,37443.0,37388.5458719599
17414,37353.0,37457.46530196749
17415,35608.0,37270.05637159592
17416,37506.0,36449.73678107478
17417,35313.0,36705.99348642832
17418,36167.0,36052.85498121099
17419,35360.0,35973.02814108049
17420,35666.0,35645.33064181483
17421,36290.0,35505.38159055899
17422,36379.0,35839.118225578706
17423,35846.0,35994.18425116471
17424,37352.0,35903.384626154104
17425,35166.0,36453.61752768956
17426,35561.0,35824.293199664105
17427,36558.0,35624.60147604337
17428,36772.0,35980.82132874575
17429,35019.0,36287.42743616147
17430,37403.0,35685.200082178395
17431,35482.0,36294.2226287542
17432,37317.0,35916.777201558434
17433,35532.0,36450.183388235426
17434,38991.0,36033.06891998479
17435,36014.0,37154.43866603413
17436,36280.0,36717.07216643156
17437,36689.0,36428.9438176085
17438,39096.0,36528.76731767448
17439,37141.0,37521.39003352591
17440,39277.0,37467.8562274553
17441,38886.0,38156.06112403767
17442,38432.0,38549.53948620962
17443,37496.0,38438.94281612128
17444,39400.0,38005.536303534354
17445,37060.0,38479.956746300326
17446,38146.0,37829.98262991206
17447,35655.0,37874.110391931645
17448,40078.0,36758.30985145401
17449,40385.0,37953.77582309714
17450,39006.0,39280.63519618824
17451,36914.0,39125.80721434524
17452,40551.0,38057.895905926714
17453,38708.0,38897.63159322052
17454,41535.0,38935.07739165964
17455,38606.0,40007.94056236146
17456,39419.0,39387.7251720374
17457,36918.0,39280.74751355108
17458,39127.0,38142.10112751717
17459,14059.0,38380.78635613786
